scenario,frame,axis,raw_input,measured_final,intended_stateful_final,expected_output_axis,bridge_output_value,vjoy_write_value,wrote_this_tick,write_status,final_abs_diff,output_abs_diff
axis_sine_fake,12,Pitch,0.915404,0.8385950861444293,0.8385889291337497,Y,0.8385950861444293,0.8385950861444293,True,fake_write_recorded,6e-06,6e-06
axis_sine_fake,12,Throttle,0.936812,0.9266523678936468,0.92665465322347,Z,0.9266523678936468,0.9266523678936468,True,fake_write_recorded,2e-06,2e-06
axis_sine_fake,12,Yaw,0.61239,0.4505343340156052,0.4505332684481024,RX,0.4505343340156052,0.4505343340156052,True,fake_write_recorded,1e-06,1e-06
axis_sine_fake,12,Aux 1,-0.68658,-0.5620712565441659,-0.562059911197006,RY,-0.5620712565441659,-0.5620712565441659,True,fake_write_recorded,1.1e-05,1.1e-05
axis_sine_fake,12,Aux 2,-0.857328,-0.8203786525187834,-0.8203925037218639,RZ,-0.8203786525187834,-0.8203786525187834,True,fake_write_recorded,1.4e-05,1.4e-05
axis_sine_fake,13,Roll,0.72784,0.5598212894896386,0.5598103783020182,X,0.5598212894896386,,False,skipped_rate_limited,1.1e-05,1.1e-05
axis_sine_fake,13,Pitch,0.919585,0.8498230152939809,0.8498275073838468,Y,0.8498230152939809,,False,skipped_rate_limited,4e-06,4e-06
axis_sine_fake,13,Throttle,0.925628,0.9141818669752028,0.9141796369007016,Z,0.9141818669752028,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,13,Yaw,0.562737,0.40402235831123184,0.40401826974847127,RX,0.40402235831123184,,False,skipped_rate_limited,4e-06,4e-06
axis_sine_fake,13,Aux 1,-0.72784,-0.6128551660275755,-0.6128448013542328,RY,-0.6128551660275755,,False,skipped_rate_limited,1e-05,1e-05
axis_sine_fake,13,Aux 2,-0.831815,-0.7917357607767663,-0.7917455374196346,RZ,-0.7917357607767663,,False,skipped_rate_limited,1e-05,1e-05
axis_sine_fake,14,Roll,0.765499,0.6110862287699578,0.6110917725884358,X,0.6110862287699578,,False,skipped_rate_limited,6e-06,6e-06
axis_sine_fake,14,Pitch,0.919249,0.8533878043818884,0.8533915803466293,Y,0.8533878043818884,,False,skipped_rate_limited,4e-06,4e-06
axis_sine_fake,14,Throttle,0.912337,0.8993294971485241,0.8993298939274512,Z,0.8993294971485241,,False,skipped_rate_limited,0.0,0.0
axis_sine_fake,14,Yaw,0.510277,0.359026326783993,0.35902574867812265,RX,0.359026326783993,,False,skipped_rate_limited,1e-06,1e-06
axis_sine_fake,14,Aux 1,-0.765499,-0.6608329859027684,-0.6608382973293846,RY,-0.6608329859027684,,False,skipped_rate_limited,5e-06,5e-06
axis_sine_fake,14,Aux 2,-0.802213,-0.7589214678124967,-0.7589181272829565,RZ,-0.7589214678124967,,False,skipped_rate_limited,3e-06,3e-06
axis_sine_fake,15,Roll,0.799435,0.6597684926093008,0.6597590761711601,X,0.6597684926093008,0.6597684926093008,True,fake_write_recorded,9e-06,9e-06
axis_sine_fake,15,Pitch,0.914397,0.8493508314163114,0.8493359516238987,Y,0.8493508314163114,0.8493508314163114,True,fake_write_recorded,1.5e-05,1.5e-05
axis_sine_fake,15,Throttle,0.897017,0.8822252061461345,0.8822270749106047,Z,0.8822252061461345,0.8822252061461345,True,fake_write_recorded,2e-06,2e-06
axis_sine_fake,15,Yaw,0.455344,0.31600847913063557,0.31600521980014507,RX,0.31600847913063557,0.31600847913063557,True,fake_write_recorded,3e-06,3e-06
axis_sine_fake,15,Aux 1,-0.799435,-0.7054965255149367,-0.705487858353328,RY,-0.7054965255149367,-0.7054965255149367,True,fake_write_recorded,9e-06,9e-06
axis_sine_fake,15,Aux 2,-0.768643,-0.7224305065188826,-0.7224216964931641,RZ,-0.7224305065188826,-0.7224305065188826,True,fake_write_recorded,9e-06,9e-06
axis_sine_fake,16,Roll,0.829404,0.7049682356662771,0.7049530579311154,X,0.7049682356662771,,False,skipped_rate_limited,1.5e-05,1.5e-05
axis_sine_fake,16,Pitch,0.904997,0.8378953487013444,0.837902613282195,Y,0.8378953487013444,,False,skipped_rate_limited,7e-06,7e-06
axis_sine_fake,16,Throttle,0.879744,0.8630077211340291,0.863009036348839,Z,0.8630077211340291,,False,skipped_rate_limited,1e-06,1e-06
axis_sine_fake,16,Yaw,0.398123,0.27525569002901806,0.27525550830100165,RX,0.27525569002901806,,False,skipped_rate_limited,0.0,0.0
axis_sine_fake,16,Aux 1,-0.829404,-0.7462593123317145,-0.7462456133951887,RY,-0.7462593123317145,,False,skipped_rate_limited,1.4e-05,1.4e-05
axis_sine_fake,16,Aux 2,-0.731289,-0.6827952783672306,-0.6827826492476357,RZ,-0.6827952783672306,,False,skipped_rate_limited,1.3e-05,1.3e-05
axis_sine_fake,17,Roll,0.855283,0.7458534732482085,0.7458402885133516,X,0.7458534732482085,,False,skipped_rate_limited,1.3e-05,1.3e-05
axis_sine_fake,17,Pitch,0.891173,0.8194956322576156,0.819502338676159,Y,0.8194956322576156,,False,skipped_rate_limited,7e-06,7e-06
axis_sine_fake,17,Throttle,0.860594,0.8418181554533666,0.8418227714313122,Z,0.8418181554533666,,False,skipped_rate_limited,5e-06,5e-06
axis_sine_fake,17,Yaw,0.338979,0.23693315824796737,0.23693239972438243,RX,0.23693315824796737,,False,skipped_rate_limited,1e-06,1e-06
axis_sine_fake,17,Aux 1,-0.855283,-0.7826001778145676,-0.7825884954385206,RY,-0.7826001778145676,,False,skipped_rate_limited,1.2e-05,1.2e-05
axis_sine_fake,17,Aux 2,-0.690303,-0.6405220973385999,-0.640524324258905,RZ,-0.6405220973385999,,False,skipped_rate_limited,2e-06,2e-06
axis_sine_fake,18,Roll,0.876951,0.7816580835730639,0.7816483946986353,X,0.7816580835730639,0.7816580835730639,True,fake_write_recorded,1e-05,1e-05
axis_sine_fake,18,Pitch,0.872953,0.7946918935752438,0.794696345623402,Y,0.7946918935752438,0.7946918935752438,True,fake_write_recorded,4e-06,4e-06
axis_sine_fake,18,Throttle,0.839673,0.8188230155347798,0.818827532258137,Z,0.8188230155347798,0.8188230155347798,True,fake_write_recorded,5e-06,5e-06
axis_sine_fake,18,Yaw,0.278157,0.20106037790083744,0.20105835206725714,RX,0.20106037790083744,0.20106037790083744,True,fake_write_recorded,2e-06,2e-06
axis_sine_fake,18,Aux 1,-0.876951,-0.8140452399406773,-0.814036780392215,RY,-0.8140452399406773,-0.8140452399406773,True,fake_write_recorded,8e-06,8e-06
axis_sine_fake,18,Aux 2,-0.64596,-0.5961535114522951,-0.5961517449192165,RZ,-0.5961535114522951,-0.5961535114522951,True,fake_write_recorded,2e-06,2e-06
axis_sine_fake,19,Roll,0.894285,0.8116889326052428,0.8116973806660389,X,0.8116889326052428,,False,skipped_rate_limited,8e-06,8e-06
axis_sine_fake,19,Pitch,0.850431,0.764164313347556,0.7641669526312035,Y,0.764164313347556,,False,skipped_rate_limited,3e-06,3e-06
axis_sine_fake,19,Throttle,0.817075,0.79418202430619,0.794188961535567,Z,0.79418202430619,,False,skipped_rate_limited,7e-06,7e-06
axis_sine_fake,19,Yaw,0.215961,0.16753636696180418,0.16753325792135476,RX,0.16753636696180418,,False,skipped_rate_limited,3e-06,3e-06
axis_sine_fake,19,Aux 1,-0.894285,-0.8401637062252076,-0.8401712071533611,RY,-0.8401637062252076,,False,skipped_rate_limited,8e-06,8e-06
axis_sine_fake,19,Aux 2,-0.598413,-0.5501426692712083,-0.5501418357565344,RZ,-0.5501426692712083,,False,skipped_rate_limited,1e-06,1e-06
axis_sine_fake,20,Roll,0.907256,0.8354378638207643,0.8354266172973289,X,0.8354378638207643,,False,skipped_rate_limited,1.1e-05,1.1e-05
axis_sine_fake,20,Pitch,0.823728,0.728695308441217,0.7286896117690176,Y,0.728695308441217,,False,skipped_rate_limited,6e-06,6e-06
axis_sine_fake,20,Throttle,0.79292,0.7680715161535707,0.7680773738147366,Z,0.7680715161535707,,False,skipped_rate_limited,6e-06,6e-06
axis_sine_fake,20,Yaw,0.152697,0.13615047402015457,0.13614683496470117,RX,0.13615047402015457,,False,skipped_rate_limited,4e-06,4e-06
axis_sine_fake,20,Aux 1,-0.907256,-0.8606583967796185,-0.8606485783618475,RY,-0.8606583967796185,,False,skipped_rate_limited,1e-05,1e-05
axis_sine_fake,20,Aux 2,-0.547936,-0.5029361711807562,-0.5029290667658854,RZ,-0.5029361711807562,,False,skipped_rate_limited,7e-06,7e-06
axis_sine_fake,21,Roll,0.915709,0.8524118112368598,0.8524161219126299,X,0.8524118112368598,0.8524118112368598,True,fake_write_recorded,4e-06,4e-06
axis_sine_fake,21,Pitch,0.792935,0.6890888295480697,0.6890973797622392,Y,0.6890888295480697,0.6890888295480697,True,fake_write_recorded,9e-06,9e-06
axis_sine_fake,21,Throttle,0.76733,0.7406685945212729,0.7406654022786654,Z,0.7406685945212729,0.7406685945212729,True,fake_write_recorded,3e-06,3e-06
axis_sine_fake,21,Yaw,0.08867,0.10659657322506316,0.1065937750661934,RX,0.10659657322506316,0.10659657322506316,True,fake_write_recorded,3e-06,3e-06
axis_sine_fake,21,Aux 1,-0.915709,-0.8752108679751833,-0.8752146690030705,RY,-0.8752108679751833,-0.8752108679751833,True,fake_write_recorded,4e-06,4e-06
axis_sine_fake,21,Aux 2,-0.494743,-0.45490861115390585,-0.45490013413646163,RZ,-0.45490861115390585,-0.45490861115390585,True,fake_write_recorded,8e-06,8e-06
axis_sine_fake,22,Roll,0.919677,0.8623957355566245,0.8624013540113987,X,0.8623957355566245,,False,skipped_rate_limited,6e-06,6e-06
axis_sine_fake,22,Pitch,0.758267,0.6462443169159032,0.6462516180237189,Y,0.6462443169159032,,False,skipped_rate_limited,7e-06,7e-06
